time,id,mass,px,py,pz,vx,vy,vz
0.0000000000000000e+00,0,1.0000000000000000e+00,1.3443933148415205e+01,5.2578605484239276e+00,3.7245688280811651e-01,-8.9121642005764862e-02,4.0475249464639523e-01,1.5604122320422876e-02
0.0000000000000000e+00,1,1.0000000000000000e+00,8.5104146456854508e+00,4.4765611514145505e+00,3.6183292495435193e-01,9.8680324065148900e-03,-2.2045117580307588e-01,4.6374977111950533e-03
0.0000000000000000e+00,2,1.0000000000000000e+00,-2.1954347794100656e+01,-9.7344216998384780e+00,-7.3428980776246844e-01,7.9253609599249986e-02,-1.8430131884331941e-01,-2.0241620031617925e-02

8.7677459252565193e-01,0,1.0000000000000000e+00,1.3350444392480812e+01,5.6096646202545619e+00,3.8608803111417100e-01,-1.2399598577675595e-01,3.9710657847946268e-01,1.5478479381615985e-02
8.7677459252565193e-01,1,1.0000000000000000e+00,8.5338692446206696e+00,4.2861017703298465e+00,3.6593041053501935e-01,4.3495938555116201e-02,-2.1336776026775112e-01,4.7203018323551758e-03
8.7677459252565193e-01,2,1.0000000000000000e+00,-2.1884313637081888e+01,-9.8957663905845497e+00,-7.5201844164919995e-01,8.0500047266312130e-02,-1.8373881821046884e-01,-2.0198781213964984e-02

1.7693749748319521e+00,0,1.0000000000000000e+00,1.3224302180772657e+01,5.9592071192936187e+00,3.9982154360246469e-01,-1.5842710309464392e-01,3.8545400089140719e-01,1.5282079471547867e-02
1.7693749748319521e+00,1,1.0000000000000000e+00,8.5875917972570424e+00,4.1003061209206537e+00,3.7020648347400642e-01,7.6660980579046745e-02,-2.0229564628889313e-01,4.8720417048558062e-03
1.7693749748319521e+00,2,1.0000000000000000e+00,-2.1811893977950291e+01,-1.0059513240209178e+01,-7.7002802707640838e-01,8.1766122604579314e-02,-1.8315835459044749e-01,-2.0154121176219432e-02

3.1481306971870064e+00,0,1.0000000000000000e+00,1.2970857331524163e+01,6.4741939530736570e+00,4.2061051418030643e-01,-2.0848484674148887e-01,3.6014238540343835e-01,1.4848386637713810e-02
3.1481306971870064e+00,1,1.0000000000000000e+00,8.7269567625306284e+00,3.8372237158964069e+00,3.7715646336037589e-01,1.2477018967121434e-01,-1.7789527027658725e-01,5.2347548826082429e-03
3.1481306971870064e+00,2,1.0000000000000000e+00,-2.1697814093809107e+01,-1.0311417668926977e+01,-7.9776697753999826e-01,8.3714657220579886e-02,-1.8224711508044350e-01,-2.0083141519544219e-02

5.1165320557994569e+00,0,1.0000000000000000e+00,1.2497150012894998e+01,7.1363327507812677e+00,4.4902729962199361e-01,-2.7075830968273762e-01,3.1008744458873283e-01,1.3978531873127996e-02
5.1165320557994569e+00,1,1.0000000000000000e+00,9.0331569664208633e+00,3.5325168938206781e+00,3.8816847049141634e-01,1.8428114787535205e-01,-1.2917030488617154e-01,5.9993177526175140e-03
5.1165320557994569e+00,2,1.0000000000000000e+00,-2.1530306978708190e+01,-1.0668849644394943e+01,-8.3719577010991797e-01,8.6477162018570586e-02,-1.8091713957775268e-01,-1.9977849623584124e-02

7.9282038897205069e+00,0,1.0000000000000000e+00,1.1638531099320888e+01,7.8812562232643923e+00,4.8609906135869585e-01,-3.3445279487031071e-01,2.1612513040606238e-01,1.2322694492948514e-02
7.9282038897205069e+00,1,1.0000000000000000e+00,9.6431401297524744e+00,3.2935374968009103e+00,4.0704794788726012e-01,2.4408163294599300e-01,-3.7165176754163948e-02,7.4973226500905576e-03
7.9282038897205069e+00,2,1.0000000000000000e+00,-2.1281671227833787e+01,-1.1174793719315067e+01,-8.9314700923295520e-01,9.0371162146645312e-02,-1.7895995338949255e-01,-1.9820017138417270e-02

1.1544323884603317e+01,0,1.0000000000000000e+00,1.0358908921276058e+01,8.4096106382995472e+00,5.2613719860746988e-01,-3.6255113792002813e-01,7.4136148056614115e-02,9.7780487851775039e-03
1.1544323884603317e+01,1,1.0000000000000000e+00,1.0587074827722125e+01,3.4076193876364682e+00,4.3829666708111037e-01,2.6728265948514540e-01,1.0220074835474907e-01,9.8269700981648764e-03
1.1544323884603317e+01,2,1.0000000000000000e+00,-2.0945983747123293e+01,-1.1817230023970364e+01,-9.6443386565404676e-01,9.5268478544362573e-02,-1.7633689601890712e-01,-1.9605018876361843e-02

1.6434800435684533e+01,0,1.0000000000000000e+00,8.6955054829449061e+00,8.3102655093462872e+00,5.6549583056362640e-01,-2.9912376188396367e-01,-1.0798818011051964e-01,6.4192419725479441e-03
1.6434800435684533e+01,1,1.0000000000000000e+00,1.1768786765597703e+01,4.3602242463362950e+00,4.9406140475520199e-01,1.9743772004371912e-01,2.8055118747763108e-01,1.2872646080253448e-02
1.6434800435684533e+01,2,1.0000000000000000e+00,-2.0464292246697596e+01,-1.2670489751793486e+01,-1.0595572352499851e+00,1.0168604172724771e-01,-1.7256300701850402e-01,-1.9291888046577384e-02

2.1246408911177717e+01,0,1.0000000000000000e+00,7.5969514740602548e+00,7.4875987201954182e+00,5.9048623268472844e-01,-1.4638672227080057e-01,-2.1821950123843109e-01,4.2316904564782126e-03
2.1246408911177717e+01,1,1.0000000000000000e+00,1.2363259980536602e+01,6.0036730349356260e+00,5.6109670187697858e-01,3.8570276654342373e-02,3.8677342871935544e-01,1.4722652222009601e-02
2.1246408911177717e+01,2,1.0000000000000000e+00,-1.9960211453503000e+01,-1.3491271750073661e+01,-1.1515829344721575e+00,1.0781644546194798e-01,-1.6855392735244926e-01,-1.8954342676275437e-02

2.6106102391651490e+01,0,1.0000000000000000e+00,7.3452632103254345e+00,6.3758906462783926e+00,6.0941395165653489e-01,4.2825306547224246e-02,-2.1936797602263075e-01,3.9042218643293713e-03
2.6106102391651490e+01,1,1.0000000000000000e+00,1.2076207282899997e+01,7.9240657816253091e+00,6.3338580209169926e-01,-1.5670831649046121e-01,3.8358309637595683e-01,1.4676077253613673e-02
2.6106102391651490e+01,2,1.0000000000000000e+00,-1.9421470492469968e+01,-1.4299956422611455e+01,-1.2427997536551987e+00,1.1388300998454123e-01,-1.6421512034558952e-01,-1.8580299118005867e-02

3.0592985261272911e+01,0,1.0000000000000000e+00,7.8826246457811386e+00,5.5818750897892322e+00,6.2964387791430521e-01,1.8699185676131205e-01,-1.2039180158235069e-01,5.3684991616828361e-03
3.0592985261272911e+01,1,1.0000000000000000e+00,1.1015506992024722e+01,9.4455202053873428e+00,6.9569716883022281e-01,-3.0636149187321249e-01,2.8040194716326289e-01,1.2839741578183645e-02
3.0592985261272911e+01,2,1.0000000000000000e+00,-1.8898131636403697e+01,-1.5027395289652681e+01,-1.3253410466483158e+00,1.1936963533667386e-01,-1.6001014545161790e-01,-1.8208240737760447e-02

3.5050710854006141e+01,0,1.0000000000000000e+00,8.8971512241293453e+00,5.3903806463859567e+00,6.5913834974801255e-01,2.5257224134864042e-01,4.0936327389840182e-02,7.9914672591153042e-03
3.5050710854006141e+01,1,1.0000000000000000e+00,9.4570142580848167e+00,1.0340729884919936e+01,7.4651033311096104e-01,-3.7722411197012973e-01,1.1476172251051717e-01,9.8284751588454643e-03
3.5050710854006141e+01,2,1.0000000000000000e+00,-1.8354165479768653e+01,-1.5731110524718542e+01,-1.4056486827444525e+00,1.2465187082500034e-01,-1.5569804955778516e-01,-1.7819942411936865e-02

4.1092923376896785e+01,0,1.0000000000000000e+00,1.0309175274210570e+01,6.3429046172318131e+00,7.1929190312305002e-01,1.8554774522210174e-01,2.6598971771079083e-01,1.1799686160782405e-02
4.1092923376896785e+01,1,1.0000000000000000e+00,7.2710678595221463e+00,1.0310804437852287e+01,7.9238195787929422e-01,-3.1699377797726558e-01,-1.1635038150900612e-01,5.4705686966650107e-03
4.1092923376896785e+01,2,1.0000000000000000e+00,-1.7580243130833086e+01,-1.6653709046083769e+01,-1.5116738608449480e+00,1.3144603269090199e-01,-1.4963933581548949e-01,-1.7270254850567730e-02

4.5827615769658138e+01,0,1.0000000000000000e+00,1.0847186481771132e+01,7.8890491414221948e+00,7.8012362797887325e-01,3.0971269557174747e-02,3.7187745846359277e-01,1.3637508959125192e-02
4.5827615769658138e+01,1,1.0000000000000000e+00,6.0986959679485260e+00,9.4614605687794562e+00,8.1225456697879261e-01,-1.6744998247499168e-01,-2.2721727924621049e-01,3.1787664652420528e-03
4.5827615769658138e+01,2,1.0000000000000000e+00,-1.6945882447424122e+01,-1.7350509699810580e+01,-1.5923781947758244e+00,1.3647871276708765e-01,-1.4466017903302963e-01,-1.6816275421252292e-02

5.0464314128271795e+01,0,1.0000000000000000e+00,1.0563088690447518e+01,9.6612622290477752e+00,8.4419786916753958e-01,-1.5398812498752046e-01,3.7461900863971581e-01,1.3682738807360919e-02
5.0464314128271795e+01,1,1.0000000000000000e+00,5.7389388863711055e+00,8.3482428910693738e+00,8.2507113384373842e-01,1.2772855516716641e-02,-2.3506396204521846e-01,2.6625559301025736e-03
5.0464314128271795e+01,2,1.0000000000000000e+00,-1.6302027574951609e+01,-1.8009505109300385e+01,-1.6692690028232071e+00,1.4121526946780250e-01,-1.3955504656652154e-01,-1.6345294737368621e-02

5.5181796852492234e+01,0,1.0000000000000000e+00,9.4374362278138673e+00,1.1225633915344087e+01,9.0508641255848432e-01,-3.1326424932063812e-01,2.7284145870643106e-01,1.1839885796861653e-02
5.5181796852492234e+01,1,1.0000000000000000e+00,6.1873573584686907e+00,7.4295693343362883e+00,8.4010747287527243e-01,1.6739002174928341e-01,-1.3867639798383763e-01,3.9995836736213975e-03
5.5181796852492234e+01,2,1.0000000000000000e+00,-1.5624793583898832e+01,-1.8655203238655371e+01,-1.7451938852440856e+00,1.4587422778003056e-01,-1.3416506062099862e-01,-1.5839469469114104e-02

5.9868873072392581e+01,0,1.0000000000000000e+00,7.7519258612211352e+00,1.2119031857547720e+01,9.5347273757247986e-01,-3.8906726535941050e-01,1.0103274606252349e-01,8.6559632175090828e-03
5.9868873072392581e+01,1,1.0000000000000000e+00,7.1786490434270283e+00,7.1522149701587914e+00,8.6474627970343565e-01,2.3875096931767781e-01,2.7656967284623635e-02,6.6626047546486204e-03
5.9868873072392581e+01,2,1.0000000000000000e+00,-1.4930574901128278e+01,-1.9271246815696422e+01,-1.8182190170703154e+00,1.5031629627523505e-01,-1.2868971302472568e-01,-1.5318567966637626e-02

6.4470096733717099e+01,0,1.0000000000000000e+00,5.9906046684787952e+00,1.2160285857671241e+01,9.8523093364198999e-01,-3.5913550590404070e-01,-8.0013830760376908e-02,5.1810165352839024e-03
6.4470096733717099e+01,1,1.0000000000000000e+00,8.2387555372567398e+00,7.6905848898813716e+00,9.0227682574346713e-01,2.0470167386170263e-01,2.0325550429473152e-01,9.6166950611157008e-03
6.4470096733717099e+01,2,1.0000000000000000e+00,-1.4229360201511682e+01,-1.9850870733725081e+01,-1.8875077591479719e+00,1.5443383209401274e-01,-1.2324167310264297e-01,-1.4797711588727797e-02

6.9266677289908159e+01,0,1.0000000000000000e+00,4.5452577388954545e+00,1.1412335965468724e+01,1.0027027300666336e+00,-2.2972071263980259e-01,-2.1862956668420741e-01,2.3202675833001642e-03
6.9266677289908159e+01,1,1.0000000000000000e+00,8.9336403763451102e+00,9.0158653710911114e+00,9.5446290513612941e-01,7.1289179181375006e-02,3.3609213959116790e-01,1.1924644508373706e-02
6.9266677289908159e+01,2,1.0000000000000000e+00,-1.3478898111258363e+01,-2.0428201320883517e+01,-1.9571656349324873e+00,1.5843153333162785e-01,-1.1746257260382353e-01,-1.4244912086377329e-02

7.3906779767251862e+01,0,1.0000000000000000e+00,3.8827643519810522e+00,1.0262707685988772e+01,1.0100144774875615e+00,-5.1997521088524595e-02,-2.5930320702610071e-01,1.1374243609379494e-03
