time,id,mass,px,py,pz,vx,vy,vz
0.0000000000000000e+00,0,1.0000000000000000e+03,3.0876819028105400e-03,3.1494331819335729e-03,-1.0992943756726146e-03,-9.0123302534800380e-03,6.2317857270053562e-03,1.0920799810311438e-02
0.0000000000000000e+00,1,1.0000000000000000e+00,-3.0876819028105400e+00,-3.1494331819335728e+00,1.0992943756726146e+00,9.0123302534800374e+00,-6.2317857270053558e+00,-1.0920799810311438e+01

3.3511729327348458e-02,0,1.0000000000000000e+03,2.7672656085280288e-03,3.3384256325422941e-03,-7.2730949973312899e-04,-1.0108538678560239e-02,5.0153838805712227e-03,1.1261943231056356e-02
3.3511729327348458e-02,1,1.0000000000000000e+00,-2.7672656085280285e+00,-3.3384256325422936e+00,7.2730949973312886e-01,1.0108538678560238e+01,-5.0153838805712230e+00,-1.1261943231056355e+01

7.5093210681436900e-02,0,1.0000000000000000e+03,2.3191967654490535e-03,3.5109290580431947e-03,-2.5301878623198304e-04,-1.1431860010734249e-02,3.2291587202616578e-03,1.1514860541934131e-02
7.5093210681436900e-02,1,1.0000000000000000e+00,-2.3191967654490537e+00,-3.5109290580431942e+00,2.5301878623198293e-01,1.1431860010734248e+01,-3.2291587202616592e+00,-1.1514860541934130e+01

1.3605728194698852e-01,0,1.0000000000000000e+03,1.5676936520499377e-03,3.6138659924608739e-03,4.4927046820358835e-04,-1.3163510176584126e-02,3.4663781205106561e-05,1.1417266106499386e-02
1.3605728194698852e-01,1,1.0000000000000000e+00,-1.5676936520499378e+00,-3.6138659924608736e+00,-4.4927046820358857e-01,1.3163510176584126e+01,-3.4663781205108588e-02,-1.1417266106499385e+01

2.1733314829759762e-01,0,1.0000000000000000e+03,4.3009822544554273e-04,3.4120406953036734e-03,1.3335443582933898e-03,-1.4605835956875736e-02,-5.1388324450276695e-03,1.0079608759648744e-02
2.1733314829759762e-01,1,1.0000000000000000e+00,-4.3009822544554271e-01,-3.4120406953036735e+00,-1.3335443582933901e+00,1.4605835956875735e+01,5.1388324450276714e+00,-1.0079608759648744e+01

3.2588936772880717e-01,0,1.0000000000000000e+03,-1.1408402875012240e-03,2.4583870868233018e-03,2.2171902140484530e-03,-1.3692917551492104e-02,-1.2239234905860551e-02,5.7387969985876978e-03
3.2588936772880717e-01,1,1.0000000000000000e+00,1.1408402875012238e+00,-2.4583870868233020e+00,-2.2171902140484532e+00,1.3692917551492105e+01,1.2239234905860554e+01,-5.7387969985876968e+00

4.6632234372566728e-01,0,1.0000000000000000e+03,-2.6757990786987480e-03,3.2857490144512329e-04,2.4815974282986738e-03,-7.5072106169011285e-03,-1.6876761536111350e-02,-1.9369456622590521e-03
4.6632234372566728e-01,1,1.0000000000000000e+00,2.6757990786987480e+00,-3.2857490144512458e-01,-2.4815974282986737e+00,7.5072106169011281e+00,1.6876761536111353e+01,1.9369456622590546e+00

6.8235165446482504e-01,0,1.0000000000000000e+03,-3.1163081012397223e-03,-3.0211543735583846e-03,1.1882247949136550e-03,2.6313047600291023e-03,-1.2731708414392849e-02,-8.6446309744805452e-03
6.8235165446482504e-01,1,1.0000000000000000e+00,3.1163081012397225e+00,3.0211543735583839e+00,-1.1882247949136544e+00,-2.6313047600290971e+00,1.2731708414392852e+01,8.6446309744805454e+00

9.3726024810029429e-01,0,1.0000000000000000e+03,-1.6500269498861207e-03,-5.1722863142508232e-03,-1.1571779015950789e-03,7.8351441551589972e-03,-4.3028964314189566e-03,-8.9368820963903299e-03
9.3726024810029429e-01,1,1.0000000000000000e+00,1.6500269498861222e+00,5.1722863142508242e+00,1.1571779015950796e+00,-7.8351441551589920e+00,4.3028964314189615e+00,8.9368820963903293e+00

1.2320033787665146e+00,0,1.0000000000000000e+03,8.5326671280411726e-04,-5.2695939226387028e-03,-3.3737476108113553e-03,8.5223331376391050e-03,3.1833763215598802e-03,-5.7888688359294619e-03
1.2320033787665146e+00,1,1.0000000000000000e+00,-8.5326671280411437e-01,5.2695939226387054e+00,3.3737476108113578e+00,-8.5223331376390998e+00,-3.1833763215598725e+00,5.7888688359294624e+00

1.5752185108868264e+00,0,1.0000000000000000e+03,3.3883288956101845e-03,-3.1296204275396301e-03,-4.4991891137450999e-03,5.7274470231852628e-03,8.7656097362298936e-03,-5.7730975279304472e-04
