time,id,mass,px,py,pz,vx,vy,vz
0.0000000000000000e+00,0,1.0000000000000000e+00,1.5909902576697321e+00,-7.0557846369171077e-16,1.5909902576697319e+00,1.0963213863676568e-16,3.4960294939005054e-01,4.5411118695315734e-17
0.0000000000000000e+00,1,1.0000000000000000e+00,-1.5909902576697321e+00,7.0557846369171077e-16,-1.5909902576697319e+00,-1.0963213863676568e-16,-3.4960294939005054e-01,-4.5411118695315734e-17

7.4989056864135728e-01,0,1.0000000000000000e+00,1.5811853072074089e+00,2.6162531136893546e-01,1.5811853072074087e+00,-2.6115423955333110e-02,3.4744974425458969e-01,-2.6115423955333176e-02
7.4989056864135728e-01,1,1.0000000000000000e+00,-1.5811853072074089e+00,-2.6162531136893546e-01,-1.5811853072074087e+00,2.6115423955333110e-02,-3.4744974425458969e-01,2.6115423955333176e-02

1.5747040855288406e+00,0,1.0000000000000000e+00,1.5479501361471895e+00,5.4555326656296843e-01,1.5479501361471890e+00,-5.4343644716883674e-02,3.4017086296497601e-01,-5.4343644716883736e-02
1.5747040855288406e+00,1,1.0000000000000000e+00,-1.5479501361471895e+00,-5.4555326656296843e-01,-1.5479501361471890e+00,5.4343644716883674e-02,-3.4017086296497601e-01,5.4343644716883736e-02

2.8535694816247279e+00,0,1.0000000000000000e+00,1.4515256157360934e+00,9.6839585712312481e-01,1.4515256157360932e+00,-9.5884280957348203e-02,3.1922340265064553e-01,-9.5884280957348245e-02
2.8535694816247279e+00,1,1.0000000000000000e+00,-1.4515256157360934e+00,-9.6839585712312481e-01,-1.4515256157360932e+00,9.5884280957348203e-02,-3.1922340265064553e-01,9.5884280957348245e-02

4.4610687262104785e+00,0,1.0000000000000000e+00,1.2592948325307480e+00,1.4505664971271646e+00,1.2592948325307476e+00,-1.4192578095531855e-01,2.7820498786270287e-01,-1.4192578095531858e-01
4.4610687262104785e+00,1,1.0000000000000000e+00,-1.2592948325307480e+00,-1.4505664971271646e+00,-1.2592948325307476e+00,1.4192578095531855e-01,-2.7820498786270287e-01,1.4192578095531858e-01

6.7961947710013337e+00,0,1.0000000000000000e+00,8.6520292855598802e-01,2.0094206522483957e+00,8.6520292855598746e-01,-1.9194749649938581e-01,1.9707702932017807e-01,-1.9194749649938581e-01
6.7961947710013337e+00,1,1.0000000000000000e+00,-8.6520292855598802e-01,-2.0094206522483957e+00,-8.6520292855598746e-01,1.9194749649938581e-01,-1.9707702932017807e-01,1.9194749649938581e-01

1.0242492905264193e+01,0,1.0000000000000000e+00,1.3408727129009501e-01,2.4487057635964291e+00,1.3408727129009435e-01,-2.2406244383663898e-01,5.6320699431324034e-02,-2.2406244383663895e-01
1.0242492905264193e+01,1,1.0000000000000000e+00,-1.3408727129009501e-01,-2.4487057635964291e+00,-1.3408727129009435e-01,2.2406244383663898e-01,-5.6320699431324034e-02,2.2406244383663895e-01

1.4667461559557587e+01,0,1.0000000000000000e+00,-8.2831758319546733e-01,2.3123535744699790e+00,-8.2831758319546778e-01,-2.0047623221246583e-01,-1.1184472750416546e-01,-2.0047623221246577e-01
1.4667461559557587e+01,1,1.0000000000000000e+00,8.2831758319546733e-01,-2.3123535744699790e+00,8.2831758319546778e-01,2.0047623221246583e-01,1.1184472750416546e-01,2.0047623221246577e-01

2.0982488431832326e+01,0,1.0000000000000000e+00,-1.7727665816445377e+00,1.0696149960134860e+00,-1.7727665816445377e+00,-8.8189262314114822e-02,-2.6054548515076015e-01,-8.8189262314114766e-02
2.0982488431832326e+01,1,1.0000000000000000e+00,1.7727665816445377e+00,-1.0696149960134860e+00,1.7727665816445377e+00,8.8189262314114822e-02,2.6054548515076015e-01,8.8189262314114766e-02

2.7297736199309238e+01,0,1.0000000000000000e+00,-1.8740432289507636e+00,-6.9547602489278293e-01,-1.8740432289507631e+00,5.7041940619007317e-02,-2.7563055987107576e-01,5.7041940619007345e-02
2.7297736199309238e+01,1,1.0000000000000000e+00,1.8740432289507636e+00,6.9547602489278293e-01,1.8740432289507631e+00,-5.7041940619007317e-02,2.7563055987107576e-01,-5.7041940619007345e-02

3.3333339836692630e+01,0,1.0000000000000000e+00,-1.1450845180150868e+00,-2.0811084358378054e+00,-1.1450845180150859e+00,1.7736256639838138e-01,-1.6339767978261613e-01,1.7736256639838138e-01
3.3333339836692630e+01,1,1.0000000000000000e+00,1.1450845180150868e+00,2.0811084358378054e+00,1.1450845180150859e+00,-1.7736256639838138e-01,1.6339767978261613e-01,-1.7736256639838138e-01

3.9169831041850479e+01,0,1.0000000000000000e+00,7.5627224725339337e-02,-2.4619826719723150e+00,7.5627224725340003e-02,2.2452152960752561e-01,4.5575798480581603e-02,2.2452152960752553e-01
3.9169831041850479e+01,1,1.0000000000000000e+00,-7.5627224725339337e-02,2.4619826719723150e+00,-7.5627224725340003e-02,-2.2452152960752561e-01,-4.5575798480581603e-02,-2.2452152960752553e-01

4.4488403593868355e+01,0,1.0000000000000000e+00,1.1500499056064737e+00,-1.6437067009807704e+00,1.1500499056064737e+00,1.5974842539776948e-01,2.5532398881410912e-01,1.5974842539776937e-01
4.4488403593868355e+01,1,1.0000000000000000e+00,-1.1500499056064737e+00,1.6437067009807704e+00,-1.1500499056064737e+00,-1.5974842539776948e-01,-2.5532398881410912e-01,-1.5974842539776937e-01

4.9709013077800655e+01,0,1.0000000000000000e+00,1.5909675400392240e+00,1.2610729754301664e-02,1.5909675400392236e+00,-1.2595763149289008e-03,3.4959795744289657e-01,-1.2595763149289840e-03
4.9709013077800655e+01,1,1.0000000000000000e+00,-1.5909675400392240e+00,-1.2610729754301664e-02,-1.5909675400392236e+00,1.2595763149289008e-03,-3.4959795744289657e-01,1.2595763149289840e-03

5.4825871063683351e+01,0,1.0000000000000000e+00,1.1550875973639314e+00,1.6356198402296349e+00,1.1550875973639305e+00,-1.5901147167678817e-01,2.5637239055230338e-01,-1.5901147167678817e-01
5.4825871063683351e+01,1,1.0000000000000000e+00,-1.1550875973639314e+00,-1.6356198402296349e+00,-1.1550875973639305e+00,1.5901147167678817e-01,-2.5637239055230338e-01,1.5901147167678817e-01

6.0298160963292368e+01,0,1.0000000000000000e+00,4.8202778836162752e-02,2.4672415341254044e+00,4.8202778836162086e-02,-2.2464755613953585e-01,4.0560016085148393e-02,-2.2464755613953580e-01
6.0298160963292368e+01,1,1.0000000000000000e+00,-4.8202778836162752e-02,-2.4672415341254044e+00,-4.8202778836162086e-02,2.2464755613953585e-01,-4.0560016085148393e-02,2.2464755613953580e-01

6.5995536987862252e+01,0,1.0000000000000000e+00,-1.1420660637975000e+00,2.0838830440831431e+00,-1.1420660637974991e+00,-1.7762778731904322e-01,-1.6291470194057397e-01,-1.7762778731904308e-01
6.5995536987862252e+01,1,1.0000000000000000e+00,1.1420660637975000e+00,-2.0838830440831431e+00,1.1420660637974991e+00,1.7762778731904322e-01,1.6291470194057397e-01,1.7762778731904308e-01

7.2335385982206802e+01,0,1.0000000000000000e+00,-1.8894865103079745e+00,6.1596889315645575e-01,-1.8894865103079732e+00,-5.0480643461038699e-02,-2.7791697775501034e-01,-5.0480643461038560e-02
7.2335385982206802e+01,1,1.0000000000000000e+00,1.8894865103079745e+00,-6.1596889315645575e-01,1.8894865103079732e+00,5.0480643461038699e-02,2.7791697775501034e-01,5.0480643461038560e-02

7.8549788275540735e+01,0,1.0000000000000000e+00,-1.7559493108414745e+00,-1.1179460736637967e+00,-1.7559493108414728e+00,9.2254634309087785e-02,-2.5802520467513917e-01,9.2254634309087785e-02
7.8549788275540735e+01,1,1.0000000000000000e+00,1.7559493108414745e+00,1.1179460736637967e+00,1.7559493108414728e+00,-9.2254634309087785e-02,2.5802520467513917e-01,-9.2254634309087785e-02

8.4605819161337436e+01,0,1.0000000000000000e+00,-8.4284105289774658e-01,-2.3041461276655588e+00,-8.4284105289774525e-01,1.9960650199734076e-01,-1.1424732761542050e-01,1.9960650199734065e-01
8.4605819161337436e+01,1,1.0000000000000000e+00,8.4284105289774658e-01,2.3041461276655588e+00,8.4284105289774525e-01,-1.9960650199734076e-01,1.1424732761542050e-01,-1.9960650199734065e-01

9.0320522113534977e+01,0,1.0000000000000000e+00,4.0394008037980278e-01,-2.3494213526668601e+00,4.0394008037980278e-01,2.1837082104394331e-01,1.0687183290044139e-01,2.1837082104394309e-01
9.0320522113534977e+01,1,1.0000000000000000e+00,-4.0394008037980278e-01,2.3494213526668601e+00,-4.0394008037980278e-01,-2.1837082104394331e-01,-1.0687183290044139e-01,-2.1837082104394309e-01

9.5547195513237881e+01,0,1.0000000000000000e+00,1.3474337976917767e+00,-1.2599718642361717e+00,1.3474337976917756e+00,1.2395033919398377e-01,2.9689098438121142e-01,1.2395033919398357e-01
9.5547195513237881e+01,1,1.0000000000000000e+00,-1.3474337976917767e+00,1.2599718642361717e+00,-1.3474337976917756e+00,-1.2395033919398377e-01,-2.9689098438121142e-01,-1.2395033919398357e-01

1.0071605490183033e+02,0,1.0000000000000000e+00,1.5583581407320637e+00,4.7573948709701730e-01,1.5583581407320621e+00,-4.7420293352619713e-02,3.4244707076379549e-01,-4.7420293352619713e-02
1.0071605490183033e+02,1,1.0000000000000000e+00,-1.5583581407320637e+00,-4.7573948709701730e-01,-1.5583581407320621e+00,4.7420293352619713e-02,-3.4244707076379549e-01,4.7420293352619713e-02

1.0587916819030868e+02,0,1.0000000000000000e+00,9.1508073488128217e-01,1.9562816150256195e+00,9.1508073488128094e-01,-1.8743342429940535e-01,2.0713180521557223e-01,-1.8743342429940521e-01
1.0587916819030868e+02,1,1.0000000000000000e+00,-9.1508073488128217e-01,-1.9562816150256195e+00,-9.1508073488128094e-01,1.8743342429940535e-01,-2.0713180521557223e-01,1.8743342429940521e-01

1.1156413217728625e+02,0,1.0000000000000000e+00,-3.0822438232328042e-01,2.4805823068463555e+00,-3.0822438232328098e-01,-2.2134191159364619e-01,-2.3223525716790094e-02,-2.2134191159364597e-01
1.1156413217728625e+02,1,1.0000000000000000e+00,3.0822438232328042e-01,-2.4805823068463555e+00,3.0822438232328098e-01,2.2134191159364619e-01,2.3223525716790094e-02,2.2134191159364597e-01

1.1751248827347942e+02,0,1.0000000000000000e+00,-1.4411983229389236e+00,1.7383760053998256e+00,-1.4411983229389227e+00,-1.4583716174966249e-01,-2.1003012495441045e-01,-1.4583716174966227e-01
1.1751248827347942e+02,1,1.0000000000000000e+00,1.4411983229389236e+00,-1.7383760053998256e+00,1.4411983229389227e+00,1.4583716174966249e-01,2.1003012495441045e-01,1.4583716174966227e-01

1.2393037520854807e+02,0,1.0000000000000000e+00,-1.9438015935427244e+00,7.2066342887988633e-02,-1.9438015935427226e+00,-5.8895724437149632e-03,-2.8592961773017850e-01,-5.8895724437147690e-03
1.2393037520854807e+02,1,1.0000000000000000e+00,1.9438015935427244e+00,-7.2066342887988633e-02,1.9438015935427226e+00,5.8895724437149632e-03,2.8592961773017850e-01,5.8895724437147690e-03

1.3018722857003010e+02,0,1.0000000000000000e+00,-1.5339647842908402e+00,-1.5938695593939600e+00,-1.5339647842908377e+00,1.3306246076407865e-01,-2.2434066567007316e-01,1.3306246076407865e-01
1.3018722857003010e+02,1,1.0000000000000000e+00,1.5339647842908402e+00,1.5938695593939600e+00,1.5339647842908377e+00,-1.3306246076407865e-01,2.2434066567007316e-01,-1.3306246076407865e-01

1.3633120836383935e+02,0,1.0000000000000000e+00,-4.1152754579613404e-01,-2.4654383455312265e+00,-4.1152754579613227e-01,2.1872190530979418e-01,-4.1235427244438794e-02,2.1872190530979402e-01
1.3633120836383935e+02,1,1.0000000000000000e+00,4.1152754579613404e-01,2.4654383455312265e+00,4.1152754579613227e-01,-2.1872190530979418e-01,4.1235427244438794e-02,-2.1872190530979402e-01

1.4180399630295534e+02,0,1.0000000000000000e+00,7.8344402611672681e-01,-2.0885144981573509e+00,7.8344402611672725e-01,1.9852714609054803e-01,1.8072518128202295e-01,1.9852714609054778e-01
1.4180399630295534e+02,1,1.0000000000000000e+00,-7.8344402611672681e-01,2.0885144981573509e+00,-7.8344402611672725e-01,-1.9852714609054803e-01,-1.8072518128202295e-01,-1.9852714609054778e-01

1.4716252616390238e+02,0,1.0000000000000000e+00,1.5313171095651246e+00,-6.4084537644419903e-01,1.5313171095651232e+00,6.3769393174045286e-02,3.3653941599613479e-01,6.3769393174045064e-02
1.4716252616390238e+02,1,1.0000000000000000e+00,-1.5313171095651246e+00,6.4084537644419903e-01,-1.5313171095651232e+00,-6.3769393174045286e-02,-3.3653941599613479e-01,-6.3769393174045064e-02

1.5235653696310669e+02,0,1.0000000000000000e+00,1.4015176824086346e+00,1.1203990260000218e+00,1.4015176824086328e+00,-1.1059006392434143e-01,3.0845838911079559e-01,-1.1059006392434145e-01
1.5235653696310669e+02,1,1.0000000000000000e+00,-1.4015176824086346e+00,-1.1203990260000218e+00,-1.4015176824086328e+00,1.1059006392434143e-01,-3.0845838911079559e-01,1.1059006392434145e-01

1.5775304673924882e+02,0,1.0000000000000000e+00,4.6719624066835785e-01,2.3165473745068033e+00,4.6719624066835630e-01,-2.1611488788879224e-01,1.1895324825828732e-01,-2.1611488788879210e-01
1.5775304673924882e+02,1,1.0000000000000000e+00,-4.6719624066835785e-01,-2.3165473745068033e+00,-4.6719624066835630e-01,2.1611488788879224e-01,-1.1895324825828732e-01,2.1611488788879210e-01

1.6344473023541812e+02,0,1.0000000000000000e+00,-7.7955050550243210e-01,2.3383956450492667e+00,-7.7955050550243232e-01,-2.0327486273692791e-01,-1.0374931731720069e-01,-2.0327486273692766e-01
1.6344473023541812e+02,1,1.0000000000000000e+00,7.7955050550243210e-01,-2.3383956450492667e+00,7.7955050550243232e-01,2.0327486273692791e-01,1.0374931731720069e-01,2.0327486273692766e-01

1.6953631410721599e+02,0,1.0000000000000000e+00,-1.7294062985748924e+00,1.1892837355936290e+00,-1.7294062985748910e+00,-9.8276990046427551e-02,-2.5403842986399117e-01,-9.8276990046427315e-02
1.6953631410721599e+02,1,1.0000000000000000e+00,1.7294062985748924e+00,-1.1892837355936290e+00,1.7294062985748910e+00,9.8276990046427551e-02,2.5403842986399117e-01,9.8276990046427315e-02

1.7580410041928155e+02,0,1.0000000000000000e+00,-1.9002739855785202e+00,-5.5319349144237617e-01,-1.9002739855785178e+00,4.5310788400812804e-02,-2.7951193213594405e-01,4.5310788400812901e-02
1.7580410041928155e+02,1,1.0000000000000000e+00,1.9002739855785202e+00,5.5319349144237617e-01,1.9002739855785178e+00,-4.5310788400812804e-02,2.7951193213594405e-01,-4.5310788400812901e-02

1.8181153361801393e+02,0,1.0000000000000000e+00,-1.2386395244042181e+00,-1.9887045325226460e+00,-1.2386395244042159e+00,1.6864129233334935e-01,-1.7829011568526296e-01,1.6864129233334929e-01
1.8181153361801393e+02,1,1.0000000000000000e+00,1.2386395244042181e+00,1.9887045325226460e+00,1.2386395244042159e+00,-1.6864129233334935e-01,1.7829011568526296e-01,-1.6864129233334929e-01

1.8764448145537253e+02,0,1.0000000000000000e+00,-4.6637480617626181e-02,-2.4807189066698849e+00,-4.6637480617624183e-02,2.2465389995880108e-01,2.3335105977740606e-02,2.2465389995880081e-01
1.8764448145537253e+02,1,1.0000000000000000e+00,4.6637480617626181e-02,2.4807189066698849e+00,4.6637480617624183e-02,-2.2465389995880108e-01,-2.3335105977740606e-02,-2.2465389995880081e-01

1.9296759872877527e+02,0,1.0000000000000000e+00,1.0605629484921308e+00,-1.7765419780290086e+00,1.0605629484921311e+00,1.7171860561126814e-01,2.3680779685187497e-01,1.7171860561126781e-01
1.9296759872877527e+02,1,1.0000000000000000e+00,-1.0605629484921308e+00,1.7765419780290086e+00,-1.0605629484921311e+00,-1.7171860561126814e-01,-2.3680779685187497e-01,-1.7171860561126781e-01

1.9817771738490168e+02,0,1.0000000000000000e+00,1.5863795836674410e+00,-1.7953905753380761e-01,1.5863795836674397e+00,1.7927428041127985e-02,3.4859009703039207e-01,1.7927428041127680e-02
1.9817771738490168e+02,1,1.0000000000000000e+00,-1.5863795836674410e+00,1.7953905753380761e-01,-1.5863795836674397e+00,-1.7927428041127985e-02,-3.4859009703039207e-01,-1.7927428041127680e-02

2.0328020807328866e+02,0,1.0000000000000000e+00,1.2410076717960188e+00,1.4857581320951345e+00,1.2410076717960163e+00,-1.4520549412007902e-01,2.7435337472622717e-01,-1.4520549412007910e-01
2.0328020807328866e+02,1,1.0000000000000000e+00,-1.2410076717960188e+00,-1.4857581320951345e+00,-1.2410076717960163e+00,1.4520549412007902e-01,-2.7435337472622717e-01,1.4520549412007910e-01

2.0871282735880169e+02,0,1.0000000000000000e+00,1.8363911421951684e-01,2.4352204991779742e+00,1.8363911421951418e-01,-2.2346611459036769e-01,6.5485087211228948e-02,-2.2346611459036758e-01
2.0871282735880169e+02,1,1.0000000000000000e+00,-1.8363911421951684e-01,-2.4352204991779742e+00,-1.8363911421951418e-01,2.2346611459036769e-01,-6.5485087211228948e-02,2.2346611459036758e-01

2.1439858152932041e+02,0,1.0000000000000000e+00,-1.0298115973430439e+00,2.1786960051056998e+00,-1.0298115973430453e+00,-1.8683451762114234e-01,-1.4484131831490268e-01,-1.8683451762114203e-01
2.1439858152932041e+02,1,1.0000000000000000e+00,1.0298115973430439e+00,-2.1786960051056998e+00,1.0298115973430453e+00,1.8683451762114234e-01,1.4484131831490268e-01,1.8683451762114203e-01

2.2073900743962255e+02,0,1.0000000000000000e+00,-1.8541137518274662e+00,7.8539798166357433e-01,-1.8541137518274655e+00,-6.4483538996343653e-02,-2.7267455659374690e-01,-6.4483538996343348e-02
2.2073900743962255e+02,1,1.0000000000000000e+00,1.8541137518274662e+00,-7.8539798166357433e-01,1.8541137518274655e+00,6.4483538996343653e-02,2.7267455659374690e-01,6.4483538996343348e-02

2.2700313445712248e+02,0,1.0000000000000000e+00,-1.8046182161866329e+00,-9.6992851596175367e-01,-1.8046182161866309e+00,7.9838217507801679e-02,-2.6530682136164735e-01,7.9838217507801873e-02
2.2700313445712248e+02,1,1.0000000000000000e+00,1.8046182161866329e+00,9.6992851596175367e-01,1.8046182161866309e+00,-7.9838217507801679e-02,2.6530682136164735e-01,-7.9838217507801873e-02

2.3313566001390302e+02,0,1.0000000000000000e+00,-9.3895510482018552e-01,-2.2443899978994759e+00,-9.3895510482018274e-01,1.9341644480397835e-01,-1.3005196069330249e-01,1.9341644480397832e-01
2.3313566001390302e+02,1,1.0000000000000000e+00,9.3895510482018552e-01,2.2443899978994759e+00,9.3895510482018274e-01,-1.9341644480397835e-01,1.3005196069330249e-01,-1.9341644480397832e-01

2.3894252062420267e+02,0,1.0000000000000000e+00,3.1676535953977736e-01,-2.3885569190231939e+00,3.1676535953977947e-01,2.2088209675939258e-01,9.0367917978048551e-02,2.2088209675939235e-01
2.3894252062420267e+02,1,1.0000000000000000e+00,-3.1676535953977736e-01,2.3885569190231939e+00,-3.1676535953977947e-01,-2.2088209675939258e-01,-9.0367917978048551e-02,-2.2088209675939235e-01

2.4424872958095725e+02,0,1.0000000000000000e+00,1.3067008634460997e+00,-1.3528129134360287e+00,1.3067008634461001e+00,1.3274887950833553e-01,2.8823007516492033e-01,1.3274887950833519e-01
2.4424872958095725e+02,1,1.0000000000000000e+00,-1.3067008634460997e+00,1.3528129134360287e+00,-1.3067008634461001e+00,-1.3274887950833553e-01,-2.8823007516492033e-01,-1.3274887950833519e-01

2.4936706531739745e+02,0,1.0000000000000000e+00,1.5734901868039706e+00,3.4914232916566923e-01,1.5734901868039692e+00,-3.4834529787825586e-02,3.4576172271638234e-01,-3.4834529787825808e-02
2.4936706531739745e+02,1,1.0000000000000000e+00,-1.5734901868039706e+00,-3.4914232916566923e-01,-1.5734901868039692e+00,3.4834529787825586e-02,-3.4576172271638234e-01,3.4834529787825808e-02

2.5445068664206840e+02,0,1.0000000000000000e+00,9.9708438597431159e-01,1.8598815340008259e+00,9.9708438597430971e-01,-1.7908265119973885e-01,2.2379486996762490e-01,-1.7908265119973890e-01
2.5445068664206840e+02,1,1.0000000000000000e+00,-9.9708438597431159e-01,-1.8598815340008259e+00,-9.9708438597430971e-01,1.7908265119973885e-01,-2.2379486996762490e-01,1.7908265119973890e-01

2.6003452045002075e+02,0,1.0000000000000000e+00,-1.8619869400768241e-01,2.4874332608859615e+00,-1.8619869400768430e-01,-2.2348450692558769e-01,-1.6761165508319131e-03,-2.2348450692558752e-01
2.6003452045002075e+02,1,1.0000000000000000e+00,1.8619869400768241e-01,-2.4874332608859615e+00,1.8619869400768430e-01,2.2348450692558769e-01,1.6761165508319131e-03,2.2348450692558752e-01

2.6586084765172365e+02,0,1.0000000000000000e+00,-1.3392827577258122e+00,1.8739497636101414e+00,-1.3392827577258135e+00,-1.5806124744734190e-01,-1.9414574535688686e-01,-1.5806124744734162e-01
2.6586084765172365e+02,1,1.0000000000000000e+00,1.3392827577258122e+00,-1.8739497636101414e+00,1.3392827577258135e+00,1.5806124744734190e-01,1.9414574535688686e-01,1.5806124744734162e-01

2.7216868077139605e+02,0,1.0000000000000000e+00,-1.9320932893155869e+00,2.9470330237068110e-01,-1.9320932893155862e+00,-2.4098936034946727e-02,-2.8420617862275738e-01,-2.4098936034946450e-02
2.7216868077139605e+02,1,1.0000000000000000e+00,1.9320932893155869e+00,-2.9470330237068110e-01,1.9320932893155862e+00,2.4098936034946727e-02,2.8420617862275738e-01,2.4098936034946450e-02

2.7839106573170801e+02,0,1.0000000000000000e+00,-1.6357680560017367e+00,-1.4045502962115730e+00,-1.6357680560017345e+00,1.1663356265264463e-01,-2.3988558776439117e-01,1.1663356265264474e-01
2.7839106573170801e+02,1,1.0000000000000000e+00,1.6357680560017367e+00,1.4045502962115730e+00,1.6357680560017345e+00,-1.1663356265264463e-01,2.3988558776439117e-01,-1.1663356265264474e-01

2.8453165365198311e+02,0,1.0000000000000000e+00,-5.8812551157597670e-01,-2.4191875619026080e+00,-5.8812551157597426e-01,2.1252349469069870e-01,-7.1550529157628273e-02,2.1252349469069864e-01
2.8453165365198311e+02,1,1.0000000000000000e+00,5.8812551157597670e-01,2.4191875619026080e+00,5.8812551157597426e-01,-2.1252349469069870e-01,7.1550529157628273e-02,-2.1252349469069864e-01

2.9026479445933398e+02,0,1.0000000000000000e+00,6.7047720480976980e-01,-2.1831579056343831e+00,6.7047720480977135e-01,2.0613071747146250e-01,1.5839312705701242e-01,2.0613071747146225e-01
2.9026479445933398e+02,1,1.0000000000000000e+00,-6.7047720480976980e-01,2.1831579056343831e+00,-6.7047720480977135e-01,-2.0613071747146250e-01,-1.5839312705701242e-01,-2.0613071747146225e-01

2.9565946785776282e+02,0,1.0000000000000000e+00,1.4935561240987349e+00,-8.1441806184074395e-01,1.4935561240987347e+00,8.0850130164890038e-02,3.2832316932155448e-01,8.0850130164889705e-02
2.9565946785776282e+02,1,1.0000000000000000e+00,-1.4935561240987349e+00,8.1441806184074395e-01,-1.4935561240987347e+00,-8.0850130164890038e-02,-3.2832316932155448e-01,-8.0850130164889705e-02

3.0091317045279465e+02,0,1.0000000000000000e+00,1.4494131946666240e+00,9.7539876703169903e-01,1.4494131946666222e+00,-9.6564953806584392e-02,3.1876731311048212e-01,-9.6564953806584503e-02
3.0091317045279465e+02,1,1.0000000000000000e+00,-1.4494131946666240e+00,-9.7539876703169903e-01,-1.4494131946666222e+00,9.6564953806584392e-02,-3.1876731311048212e-01,9.6564953806584503e-02

3.0625756626103259e+02,0,1.0000000000000000e+00,5.7714480476956853e-01,2.2499050415608872e+00,5.7714480476956687e-01,-2.1126134734178198e-01,1.4016745085880683e-01,-2.1126134734178190e-01
