time,id,mass,px,py,pz,vx,vy,vz
0.0000000000000000e+00,0,1.0000000000000000e+00,-3.8337984928580812e+02,-3.1003042915384634e+02,-8.3072403120847525e+01,7.1393218223247359e-02,5.2447150659912185e-02,1.4053171664636892e-02
0.0000000000000000e+00,1,1.0000000000000000e+00,3.8337984928580812e+02,3.1003042915384634e+02,8.3072403120847525e+01,-7.1393218223247359e-02,-5.2447150659912185e-02,-1.4053171664636892e-02

2.0006527511028883e+03,0,1.0000000000000000e+00,-2.3851524675410818e+02,-2.0343177921583009e+02,-5.4509380955708124e+01,7.3771053098926440e-02,5.4422043849304262e-02,1.4582342699872224e-02
2.0006527511028883e+03,1,1.0000000000000000e+00,2.3851524675410818e+02,2.0343177921583009e+02,5.4509380955708124e+01,-7.3771053098926440e-02,-5.4422043849304262e-02,-1.4582342699872224e-02

3.1347964009281282e+03,0,1.0000000000000000e+00,-1.5331806741714837e+02,-1.4037513968534256e+02,-3.7613405316093591e+01,7.6874304094385448e-02,5.7164507446186355e-02,1.5317183605928533e-02
3.1347964009281282e+03,1,1.0000000000000000e+00,1.5331806741714837e+02,1.4037513968534256e+02,3.7613405316093591e+01,-7.6874304094385448e-02,-5.7164507446186355e-02,-1.5317183605928533e-02

4.1127150737422999e+03,0,1.0000000000000000e+00,-7.5355773440992522e+01,-8.1790107052783199e+01,-2.1915593133648343e+01,8.3913049379915713e-02,6.4180456282298487e-02,1.7197101430702855e-02
4.1127150737422999e+03,1,1.0000000000000000e+00,7.5355773440992522e+01,8.1790107052783199e+01,2.1915593133648343e+01,-8.3913049379915713e-02,-6.4180456282298487e-02,-1.7197101430702855e-02

4.6829372580099625e+03,0,1.0000000000000000e+00,-2.4295314794030176e+01,-4.1255726133103622e+01,-1.1054438500524697e+01,9.8471167910449284e-02,8.3786120230068623e-02,2.2450423252583847e-02
4.6829372580099625e+03,1,1.0000000000000000e+00,2.4295314794030176e+01,4.1255726133103622e+01,1.1054438500524697e+01,-9.8471167910449284e-02,-8.3786120230068623e-02,-2.2450423252583847e-02

4.9232833367457924e+03,0,1.0000000000000000e+00,1.2957786449763944e+00,-1.6122470154053858e+01,-4.3200028577736225e+00,1.1369539666835370e-01,1.4959247111613255e-01,4.0083181829343811e-02
4.9232833367457924e+03,1,1.0000000000000000e+00,-1.2957786449763944e+00,1.6122470154053858e+01,4.3200028577736225e+00,-1.1369539666835370e-01,-1.4959247111613255e-01,-4.0083181829343811e-02

5.0062226272576763e+03,0,1.0000000000000000e+00,7.8897197955609419e+00,7.9538001429122573e-01,2.1312143250518645e-01,-1.7453323271388252e-02,2.5514307182112450e-01,6.8365380048866442e-02
5.0062226272576763e+03,1,1.0000000000000000e+00,-7.8897197955609419e+00,-7.9538001429122573e-01,-2.1312143250518645e-01,1.7453323271388252e-02,-2.5514307182112450e-01,-6.8365380048866442e-02

5.0939474453183320e+03,0,1.0000000000000000e+00,-9.7951703511041277e-01,1.7400919728968905e+01,4.6625623889360206e+00,-1.2404936766157938e-01,1.3443739662299295e-01,3.6022391857673627e-02
5.0939474453183320e+03,1,1.0000000000000000e+00,9.7951703511041277e-01,-1.7400919728968905e+01,-4.6625623889360206e+00,1.2404936766157938e-01,-1.3443739662299295e-01,-3.6022391857673627e-02

5.3318785814713892e+03,0,1.0000000000000000e+00,-2.7892839531797808e+01,4.0017154930805852e+01,1.0722564347100583e+01,-1.0391344215285311e-01,7.6414986098272616e-02,2.0475333814667693e-02
5.3318785814713892e+03,1,1.0000000000000000e+00,2.7892839531797808e+01,-4.0017154930805852e+01,-1.0722564347100583e+01,1.0391344215285311e-01,-7.6414986098272616e-02,-2.0475333814667693e-02

5.9275616608510691e+03,0,1.0000000000000000e+00,-8.3896014956317799e+01,7.8372814703634845e+01,2.0999932408393050e+01,-8.7910410250678264e-02,5.7963383918396130e-02,1.5531241911509425e-02
5.9275616608510691e+03,1,1.0000000000000000e+00,8.3896014956317799e+01,-7.8372814703634845e+01,-2.0999932408393050e+01,8.7910410250678264e-02,-5.7963383918396130e-02,-1.5531241911509425e-02

