time,id,mass,radius,px,py,pz,vx,vy,vz
0.0000000000000000e+00,0,1.0000000000000000e+02,1.9741257240167391e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3574244544177601e-01,0.0000000000000000e+00,0.0000000000000000e+00
0.0000000000000000e+00,1,1.0000000000000000e-03,1.9741257240167395e-08,-3.0000000000000000e+00,3.6739403974420594e-16,0.0000000000000000e+00,-7.0705369439189567e-16,-5.7735315593375489e+00,0.0000000000000000e+00

2.1829870020616675e+00,0,1.0000000000000000e+02,1.9741257240167391e-06,7.3290308688488248e-01,-1.2920210298781359e-04,0.0000000000000000e+00,3.3576482529447921e-01,1.0882000029206348e-05,0.0000000000000000e+00
2.1829870020616675e+00,1,1.0000000000000000e-03,1.9741257240167395e-08,-1.1692445086808434e+00,3.1666594875465826e-01,0.0000000000000000e+00,-2.2379852703179592e+00,-6.8617315622581865e+00,0.0000000000000000e+00

4.1564998492976422e+00,0,1.0000000000000000e+02,1.9741257240167391e-06,1.3954694081863463e+00,-2.2047938984167103e-04,0.0000000000000000e+00,3.3567879777886278e-01,-6.6468886223587206e-05,0.0000000000000000e+00
4.1564998492976422e+00,1,1.0000000000000000e-03,1.9741257240167395e-08,1.4015695217784641e+00,-1.9497440721346098e+00,0.0000000000000000e+00,6.3647662913220202e+00,8.7335706302116367e-01,0.0000000000000000e+00

6.0467011481722137e+00,0,1.0000000000000000e+02,1.9741257240167391e-06,2.0300901383253183e+00,-3.3363880606928541e-04,0.0000000000000000e+00,3.3568220564489903e-01,-3.1854024985848104e-05,0.0000000000000000e+00
6.0467011481722137e+00,1,1.0000000000000000e-03,1.9741257240167395e-08,1.4092017615678367e+00,-1.5469393019263493e+00,0.0000000000000000e+00,6.0239796876949345e+00,-2.5881290607527490e+00,0.0000000000000000e+00

8.0029681819429772e+00,0,1.0000000000000000e+02,1.9741257240167391e-06,2.6868854612048794e+00,-4.6624334246040511e-04,0.0000000000000000e+00,3.3584208583319458e-01,2.1514745067391516e-05,0.0000000000000000e+00
8.0029681819429772e+00,1,1.0000000000000000e-03,1.9741257240167395e-08,2.0646993380363918e+00,4.1894487921844642e-01,0.0000000000000000e+00,-9.9640391418587910e+00,-7.9250060660767092e+00,0.0000000000000000e+00

