e_h,typeI_R,typeI_T,typeI_N,drag_R,drag_T,drag_N
0,6.4667e-17,-6.20821e-05,4.46691e-19,2.00186e-16,-0.000231174,-1.82146e-18
0.1,6.72898e-17,-6.08532e-05,2.33429e-06,1.99595e-16,-0.000229909,-2.43953e-05
0.2,5.36694e-17,-5.92936e-05,4.65533e-06,2.23843e-16,-0.000225969,-4.90487e-05
0.3,4.77958e-17,-5.76272e-05,6.95012e-06,2.108e-16,-0.000219467,-7.42269e-05
0.4,5.25173e-17,-5.59113e-05,8.88963e-06,3.11279e-16,-0.000212407,-9.19299e-05
0.5,-1.90593e-16,-5.41601e-05,1.03287e-05,1.67424e-16,-0.000208687,-9.83847e-05
0.6,-4.11245e-16,-5.23563e-05,1.16145e-05,2.30131e-16,-0.000209018,-0.000102313
0.7,4.42951e-17,-5.04778e-05,1.28108e-05,4.05694e-16,-0.000215571,-0.000105055
0.8,3.69258e-17,-4.84954e-05,1.39371e-05,4.06319e-16,-0.000233359,-0.000106432
0.9,3.90703e-17,-4.63745e-05,1.50011e-05,1.73619e-16,-0.000280322,-0.000103091
1,-8.59935e-16,-4.4071e-05,1.57012e-05,6.10059e-16,-0.000411281,-8.1675e-05
1.1,-3.48227e-16,-4.15455e-05,1.60965e-05,1.6585e-15,-0.000540502,-7.43162e-05
1.2,-6.61904e-16,-3.8759e-05,1.6347e-05,1.21422e-15,-0.00057814,-8.20769e-05
1.3,3.84512e-17,-3.56709e-05,1.65066e-05,8.43373e-16,-0.000590607,-6.61734e-05
1.4,2.29699e-15,-3.22414e-05,1.66016e-05,4.9591e-16,-0.000648048,-5.38513e-06
1.5,7.43784e-17,-2.84344e-05,1.66508e-05,2.97891e-16,-0.000752642,8.29719e-05
1.6,6.86495e-17,-2.42196e-05,1.66814e-05,5.67068e-16,-0.00081417,0.000135441
1.7,8.67172e-17,-1.95744e-05,1.6931e-05,3.832e-17,-0.000781019,0.000130649
1.8,8.78887e-17,-1.44921e-05,1.7273e-05,-1.35413e-16,-0.000656499,8.00183e-05
1.9,1.28948e-14,-8.97955e-06,1.76462e-05,-4.85835e-16,-0.000477654,8.80294e-06
2,4.71639e-17,-3.06112e-06,1.80243e-05,-1.02585e-15,-0.000296205,-5.56445e-05
2.1,5.14541e-17,3.22061e-06,1.83937e-05,-5.91298e-16,-0.00021179,-6.89497e-05
2.2,6.3428e-17,9.81349e-06,1.88119e-05,-1.32533e-16,-0.000149154,-7.33759e-05
2.3,5.75343e-17,1.66535e-05,1.93796e-05,-1.09131e-16,-4.55969e-05,-9.65338e-05
2.4,5.43283e-17,2.36558e-05,1.99891e-05,-3.59348e-16,6.5406e-05,-0.000123011
2.5,3.54382e-17,3.07209e-05,2.06024e-05,-2.71016e-16,0.000174184,-0.000148562
2.6,1.39006e-17,3.7738e-05,2.12006e-05,-2.18341e-16,0.000277274,-0.000171763
2.7,5.10009e-18,4.45907e-05,2.17745e-05,-4.3146e-16,0.000373113,-0.000192101
2.8,2.69272e-17,5.11619e-05,2.23133e-05,-4.66597e-16,0.000460771,-0.000209353
2.9,7.39101e-18,5.73462e-05,2.27585e-05,-1.2438e-17,0.000519678,-0.000216234
3,-1.15709e-15,6.30512e-05,2.30612e-05,-1.28873e-16,0.000538114,-0.000209593
3.1,-7.77777e-16,6.8195e-05,2.32825e-05,-7.22512e-17,0.000541507,-0.000199185
3.2,3.89413e-17,7.27189e-05,2.3445e-05,-3.02727e-16,0.000537265,-0.000187664
3.3,-9.22383e-15,7.65879e-05,2.35603e-05,-3.90417e-16,0.000528793,-0.000176109
3.4,-1.74307e-17,7.97885e-05,2.36274e-05,-1.73689e-16,0.000515517,-0.000164269
3.5,5.49788e-17,8.23202e-05,2.35657e-05,6.96058e-17,0.000471453,-0.000144416
3.6,-1.0436e-15,8.42128e-05,2.34245e-05,-2.58257e-17,0.000415284,-0.000122547
3.7,-1.07119e-18,8.55074e-05,2.32332e-05,-1.316e-16,0.000355524,-0.000101158
3.8,-2.10888e-17,8.62555e-05,2.30098e-05,-3.868e-16,0.000295963,-8.11978e-05
3.9,1.67802e-17,8.65126e-05,2.27576e-05,-2.00213e-16,0.000237732,-6.28262e-05
4,-2.4304e-17,8.63381e-05,2.24902e-05,-1.07679e-16,0.000182247,-4.62547e-05
4.1,3.96276e-18,8.57907e-05,2.22101e-05,-1.41523e-16,0.000130124,-3.14793e-05
4.2,-7.94937e-18,8.49212e-05,2.19816e-05,-1.18477e-16,9.82907e-05,-2.22492e-05
4.3,1.55496e-17,8.37842e-05,2.17813e-05,-4.29344e-17,7.78955e-05,-1.6178e-05
4.4,-3.1044e-17,8.24313e-05,2.15968e-05,-1.21535e-16,6.38503e-05,-1.19169e-05
4.5,-2.12291e-16,8.09065e-05,2.14161e-05,-7.29018e-17,5.35463e-05,-8.76754e-06
4.6,-1.24332e-15,7.92483e-05,2.12426e-05,-5.52423e-17,4.62104e-05,-6.48474e-06
4.7,1.82368e-17,7.74956e-05,2.11135e-05,-5.78313e-17,5.16064e-05,-7.0206e-06
4.8,8.02929e-16,7.56765e-05,2.10238e-05,-6.29141e-17,6.76854e-05,-9.77772e-06
4.9,-1.30169e-17,7.38136e-05,2.09528e-05,-6.00865e-17,8.81089e-05,-1.33561e-05
5,2.151e-17,7.19266e-05,2.08957e-05,-5.63221e-17,0.000110918,-1.7319e-05
5.1,-1.72244e-17,7.00316e-05,2.08414e-05,-8.49798e-17,0.000134437,-2.13148e-05
5.2,2.19632e-18,6.81426e-05,2.07921e-05,-8.04131e-17,0.000158363,-2.52822e-05
5.3,-1.7029e-17,6.62711e-05,2.07428e-05,-5.39152e-17,0.000182039,-2.90924e-05
5.4,-4.62255e-16,6.44264e-05,2.06834e-05,-5.36138e-17,0.000201948,-3.20894e-05
5.5,-2.09194e-17,6.26178e-05,2.05869e-05,-3.79145e-17,0.00021109,-3.30149e-05
5.6,1.24922e-15,6.08493e-05,2.04737e-05,-1.05755e-16,0.000215816,-3.31376e-05
5.7,7.79406e-18,5.9124e-05,2.03495e-05,-5.88787e-17,0.000218039,-3.28383e-05
5.8,-1.4444e-17,5.74444e-05,2.02177e-05,-5.50233e-17,0.000218737,-3.2309e-05
5.9,7.0413e-16,5.58108e-05,2.00624e-05,-4.1861e-17,0.000213922,-3.08686e-05
6,-1.61316e-16,5.42224e-05,1.98739e-05,-3.32091e-17,0.000200653,-2.80555e-05
