i_h,typeI_R,typeI_T,typeI_N,drag_R,drag_T,drag_N
0,3.87109e-17,-5.31132e-05,0,1.57155e-16,-0.000183542,0
0.05,5.21867e-17,-5.29824e-05,1.00233e-06,7.10976e-17,-0.000183747,-9.4046e-06
0.1,4.49545e-17,-5.29075e-05,2.005e-06,1.83472e-16,-0.000184367,-1.8839e-05
0.15,5.37594e-17,-5.28879e-05,3.01196e-06,2.64815e-16,-0.000185416,-2.83328e-05
0.2,5.15048e-17,-5.29226e-05,4.02628e-06,1.30295e-16,-0.000186917,-3.79146e-05
0.25,3.96829e-17,-5.30101e-05,5.05019e-06,2.44141e-16,-0.000188907,-4.76116e-05
0.3,4.44883e-17,-5.31488e-05,6.08503e-06,1.18702e-16,-0.000191435,-5.7448e-05
0.35,4.58e-17,-5.33363e-05,7.13127e-06,1.841e-16,-0.000194568,-6.74429e-05
0.4,3.08234e-16,-5.35698e-05,8.18844e-06,2.5654e-16,-0.000198398,-7.76063e-05
0.45,4.57178e-17,-5.38458e-05,9.25507e-06,1.58392e-16,-0.000203048,-8.7932e-05
0.5,-1.90593e-16,-5.41601e-05,1.03287e-05,1.67424e-16,-0.000208687,-9.83847e-05
0.55,3.00566e-16,-5.45077e-05,1.14057e-05,1.89167e-16,-0.00021555,-0.000108877
0.6,-3.09484e-16,-5.48827e-05,1.24816e-05,2.53341e-16,-0.000223978,-0.000119223
0.65,3.4685e-17,-5.52785e-05,1.35505e-05,1.64065e-16,-0.00023448,-0.000129045
0.7,3.61923e-17,-5.56875e-05,1.46056e-05,2.31709e-16,-0.000247867,-0.000137569
0.75,-2.03573e-17,-5.61011e-05,1.56393e-05,2.14674e-16,-0.000265522,-0.00014312
0.8,3.28483e-17,-5.65101e-05,1.66428e-05,2.58723e-16,-0.00029009,-0.000141716
0.85,3.68821e-17,-5.69042e-05,1.76071e-05,2.78739e-16,-0.000333777,-0.000103115
0.9,4.18448e-17,-5.72727e-05,1.85223e-05,2.78883e-16,-0.000404051,-3.33769e-05
0.95,2.41048e-17,-5.76045e-05,1.93787e-05,2.48631e-16,-0.000472629,-3.51387e-05
1,5.88569e-16,-5.78883e-05,2.01668e-05,2.81602e-16,-0.000527736,-0.000130251
1.05,4.187e-17,-5.81126e-05,2.08775e-05,2.54336e-16,-0.000560429,-0.000317876
1.1,7.74823e-16,-5.82668e-05,2.15029e-05,1.39168e-16,-0.000561914,-0.000587684
1.15,2.99668e-17,-5.83407e-05,2.20362e-05,2.80253e-16,-0.000550654,-0.000819876
1.2,3.07618e-17,-5.83254e-05,2.24721e-05,1.91869e-16,-0.0005447,-0.000960318
1.25,4.94787e-17,-5.82132e-05,2.28075e-05,3.12864e-16,-0.000538945,-0.00105211
1.3,3.65148e-17,-5.79985e-05,2.30408e-05,3.84733e-16,-0.000532528,-0.00111148
1.35,3.28435e-17,-5.76772e-05,2.31728e-05,6.3979e-16,-0.000525224,-0.00114803
1.4,2.58674e-17,-5.72478e-05,2.32059e-05,7.05859e-16,-0.000517013,-0.00116817
1.45,4.45924e-17,-5.67106e-05,2.31444e-05,6.11891e-16,-0.000508029,-0.00117607
1.5,3.13338e-17,-5.60682e-05,2.29944e-05,4.45178e-16,-0.000498192,-0.00117577
1.55,3.51791e-17,-5.53251e-05,2.2763e-05,2.98362e-16,-0.000487824,-0.00116822
1.6,3.26536e-17,-5.44878e-05,2.24582e-05,7.4489e-16,-0.000476999,-0.00115545
1.65,3.38423e-17,-5.3564e-05,2.2089e-05,4.77905e-16,-0.000465552,-0.00114023
1.7,2.8667e-17,-5.2563e-05,2.16641e-05,6.47529e-16,-0.000453921,-0.00112133
1.75,3.45207e-17,-5.14946e-05,2.11928e-05,2.84278e-16,-0.000441816,-0.00110174
1.8,2.27432e-17,-5.03692e-05,2.06837e-05,2.95882e-16,-0.000429818,-0.00107865
1.85,3.20365e-17,-4.91977e-05,2.01451e-05,4.60552e-16,-0.000417476,-0.00105598
1.9,3.29154e-17,-4.79904e-05,1.95848e-05,3.45515e-16,-0.000404809,-0.00103419
1.95,1.97246e-16,-4.67576e-05,1.90097e-05,1.35511e-16,-0.000392712,-0.00100721
2,2.14009e-17,-4.55088e-05,1.8426e-05,1.39465e-16,-0.000379644,-0.000987196
2.05,2.19799e-17,-4.4253e-05,1.78391e-05,6.08883e-17,-0.000367304,-0.000961396
2.1,1.96716e-17,-4.29982e-05,1.72538e-05,3.20032e-16,-0.000354407,-0.000940251
2.15,2.80535e-17,-4.17515e-05,1.66739e-05,2.69963e-16,-0.000342061,-0.000914915
2.2,1.97376e-17,-4.05192e-05,1.61026e-05,2.77951e-16,-0.000329003,-0.000896212
2.25,1.7552e-17,-3.93065e-05,1.55426e-05,2.9627e-16,-0.000316469,-0.000874122
2.3,1.73382e-17,-3.8118e-05,1.4996e-05,2.98891e-16,-0.000304382,-0.00084847
2.35,1.04284e-17,-3.69571e-05,1.44643e-05,2.91914e-16,-0.00029145,-0.000831766
2.4,2.50632e-17,-3.58268e-05,1.39486e-05,2.14139e-16,-0.000279027,-0.000811718
2.45,1.45219e-17,-3.47293e-05,1.34499e-05,3.6015e-16,-0.0002669,-0.000789731
2.5,1.77251e-17,-3.36661e-05,1.29685e-05,2.80799e-16,-0.000254323,-0.000773613
2.55,2.00338e-17,-3.26382e-05,1.25047e-05,3.12915e-16,-0.000242363,-0.000752791
2.6,2.48183e-17,-3.16463e-05,1.20586e-05,3.06291e-16,-0.000230652,-0.000730495
2.65,2.022e-17,-3.06905e-05,1.163e-05,3.11715e-16,-0.000218047,-0.000718923
2.7,1.46481e-17,-2.97707e-05,1.12187e-05,1.63581e-16,-0.000205809,-0.000705261
2.75,1.05181e-17,-2.88865e-05,1.08242e-05,4.93207e-16,-0.00019417,-0.000686587
2.8,2.33933e-17,-2.80372e-05,1.04463e-05,2.39061e-16,-0.000183078,-0.000663082
2.85,1.29215e-17,-2.72222e-05,1.00843e-05,2.22869e-16,-0.0001712,-0.000649774
2.9,2.18984e-17,-2.64404e-05,9.73774e-06,1.77207e-16,-0.000159209,-0.000639442
2.95,2.11672e-17,-2.56908e-05,9.40606e-06,1.9566e-16,-0.000147491,-0.000627546
3,2.26707e-17,-2.49724e-05,9.08866e-06,2.20923e-16,-0.000136329,-0.000610467
