e_h,switch_R,switch_T,switch_N
0,6.4667e-17,-6.20821e-05,4.46691e-19
0.1,6.72898e-17,-6.08532e-05,2.33429e-06
0.2,5.36694e-17,-5.92936e-05,4.65533e-06
0.3,4.77958e-17,-5.76272e-05,6.95012e-06
0.4,5.25173e-17,-5.59113e-05,8.88963e-06
0.5,-1.90593e-16,-5.41601e-05,1.03287e-05
0.6,-4.11245e-16,-5.23563e-05,1.16145e-05
0.7,4.42951e-17,-5.04778e-05,1.28108e-05
0.8,3.69258e-17,-4.84954e-05,1.39371e-05
0.9,3.90703e-17,-4.63745e-05,1.50011e-05
1,-8.59935e-16,-4.4071e-05,1.57012e-05
1.1,-3.48227e-16,-4.15455e-05,1.60965e-05
1.2,-6.61904e-16,-3.8759e-05,1.6347e-05
1.3,3.84512e-17,-3.56709e-05,1.65066e-05
1.4,2.29699e-15,-3.22414e-05,1.66016e-05
1.5,7.43784e-17,-2.84344e-05,1.66508e-05
1.6,6.86495e-17,-2.42196e-05,1.66814e-05
1.7,8.67172e-17,-1.95744e-05,1.6931e-05
1.8,8.78887e-17,-1.44921e-05,1.7273e-05
1.9,1.28948e-14,-8.97955e-06,1.76462e-05
2,4.71639e-17,-3.06112e-06,1.80243e-05
2.1,5.14541e-17,3.22061e-06,1.83937e-05
2.2,6.3428e-17,9.81349e-06,1.88119e-05
2.3,5.75343e-17,1.66535e-05,1.93796e-05
2.4,5.43283e-17,2.36558e-05,1.99891e-05
2.5,3.54382e-17,3.07209e-05,2.06024e-05
2.6,1.39006e-17,3.7738e-05,2.12006e-05
2.7,5.10009e-18,4.45907e-05,2.17745e-05
2.8,2.69272e-17,5.11619e-05,2.23133e-05
2.9,7.39101e-18,5.73462e-05,2.27585e-05
3,-1.15709e-15,6.30512e-05,2.30612e-05
3.1,-7.77777e-16,6.8195e-05,2.32825e-05
3.2,3.89413e-17,7.27189e-05,2.3445e-05
3.3,-9.22383e-15,7.65879e-05,2.35603e-05
3.4,-1.74307e-17,7.97885e-05,2.36274e-05
3.5,5.49788e-17,8.23202e-05,2.35657e-05
3.6,-1.0436e-15,8.42128e-05,2.34245e-05
3.7,-1.07119e-18,8.55074e-05,2.32332e-05
3.8,-2.10888e-17,8.62555e-05,2.30098e-05
3.9,1.67802e-17,8.65126e-05,2.27576e-05
4,-5.9276e-17,-0.01537,0.00342308
4.1,-1.41523e-16,0.000130124,-3.14793e-05
4.2,-1.18477e-16,9.82907e-05,-2.22492e-05
4.3,-4.29344e-17,7.78955e-05,-1.6178e-05
4.4,-1.21535e-16,6.38503e-05,-1.19169e-05
4.5,-7.29018e-17,5.35463e-05,-8.76754e-06
4.6,-5.52423e-17,4.62104e-05,-6.48474e-06
4.7,-5.78313e-17,5.16064e-05,-7.0206e-06
4.8,-6.29141e-17,6.76854e-05,-9.77772e-06
4.9,-6.00865e-17,8.81089e-05,-1.33561e-05
5,-5.63221e-17,0.000110918,-1.7319e-05
5.1,-8.49798e-17,0.000134437,-2.13148e-05
5.2,-8.04131e-17,0.000158363,-2.52822e-05
5.3,-5.39152e-17,0.000182039,-2.90924e-05
5.4,-5.36138e-17,0.000201948,-3.20894e-05
5.5,-3.79145e-17,0.00021109,-3.30149e-05
5.6,-1.05755e-16,0.000215816,-3.31376e-05
5.7,-5.88787e-17,0.000218039,-3.28383e-05
5.8,-5.50233e-17,0.000218737,-3.2309e-05
5.9,-4.1861e-17,0.000213922,-3.08686e-05
6,-3.32091e-17,0.000200653,-2.80555e-05
