i_h,switch_R,switch_T,switch_N
0,3.87109e-17,-5.31132e-05,0
0.05,5.21867e-17,-5.29824e-05,1.00233e-06
0.1,4.49545e-17,-5.29075e-05,2.005e-06
0.15,5.37594e-17,-5.28879e-05,3.01196e-06
0.2,5.15048e-17,-5.29226e-05,4.02628e-06
0.25,3.96829e-17,-5.30101e-05,5.05019e-06
0.3,4.44883e-17,-5.31488e-05,6.08503e-06
0.35,4.58e-17,-5.33363e-05,7.13127e-06
0.4,3.08234e-16,-5.35698e-05,8.18844e-06
0.45,4.57178e-17,-5.38458e-05,9.25507e-06
0.5,-1.90593e-16,-5.41601e-05,1.03287e-05
0.55,3.00566e-16,-5.45077e-05,1.14057e-05
0.6,-3.09484e-16,-5.48827e-05,1.24816e-05
0.65,3.4685e-17,-5.52785e-05,1.35505e-05
0.7,3.61923e-17,-5.56875e-05,1.46056e-05
0.75,-2.03573e-17,-5.61011e-05,1.56393e-05
0.8,3.28483e-17,-5.65101e-05,1.66428e-05
0.85,3.68821e-17,-5.69042e-05,1.76071e-05
0.9,4.18448e-17,-5.72727e-05,1.85223e-05
0.95,2.41048e-17,-5.76045e-05,1.93787e-05
1,5.88569e-16,-5.78883e-05,2.01668e-05
1.05,4.187e-17,-5.81126e-05,2.08775e-05
1.1,7.74823e-16,-5.82668e-05,2.15029e-05
1.15,2.99668e-17,-5.83407e-05,2.20362e-05
1.2,3.07618e-17,-5.83254e-05,2.24721e-05
1.25,4.94787e-17,-5.82132e-05,2.28075e-05
1.3,3.65148e-17,-5.79985e-05,2.30408e-05
1.35,3.28435e-17,-5.76772e-05,2.31728e-05
1.4,2.58674e-17,-5.72478e-05,2.32059e-05
1.45,4.45924e-17,-5.67106e-05,2.31444e-05
1.5,1.987e-16,-0.0117286,0.0656783
1.55,2.98362e-16,-0.000487824,-0.00116822
1.6,7.4489e-16,-0.000476999,-0.00115545
1.65,4.77905e-16,-0.000465552,-0.00114023
1.7,6.47529e-16,-0.000453921,-0.00112133
1.75,2.84278e-16,-0.000441816,-0.00110174
1.8,2.95882e-16,-0.000429818,-0.00107865
1.85,4.60552e-16,-0.000417476,-0.00105598
1.9,3.45515e-16,-0.000404809,-0.00103419
1.95,1.35511e-16,-0.000392712,-0.00100721
2,1.39465e-16,-0.000379644,-0.000987196
2.05,6.08883e-17,-0.000367304,-0.000961396
2.1,3.20032e-16,-0.000354407,-0.000940251
2.15,2.69963e-16,-0.000342061,-0.000914915
2.2,2.77951e-16,-0.000329003,-0.000896212
2.25,2.9627e-16,-0.000316469,-0.000874122
2.3,2.98891e-16,-0.000304382,-0.00084847
2.35,2.91914e-16,-0.00029145,-0.000831766
2.4,2.14139e-16,-0.000279027,-0.000811718
2.45,3.6015e-16,-0.0002669,-0.000789731
2.5,2.80799e-16,-0.000254323,-0.000773613
2.55,3.12915e-16,-0.000242363,-0.000752791
2.6,3.06291e-16,-0.000230652,-0.000730495
2.65,3.11715e-16,-0.000218047,-0.000718923
2.7,1.63581e-16,-0.000205809,-0.000705261
2.75,4.93207e-16,-0.00019417,-0.000686587
2.8,2.39061e-16,-0.000183078,-0.000663082
2.85,2.22869e-16,-0.0001712,-0.000649774
2.9,1.77207e-16,-0.000159209,-0.000639442
2.95,1.9566e-16,-0.000147491,-0.000627546
3,2.20923e-16,-0.000136329,-0.000610467
