time,id,mass,px,py,pz,vx,vy,vz
0.0000000000000000e+00,0,1.0000000000000000e+00,1.3443933148415205e+01,5.2578605484239276e+00,3.7245688280811651e-01,-8.9121642005764862e-02,4.0475249464639523e-01,1.5604122320422876e-02
0.0000000000000000e+00,1,1.0000000000000000e+00,8.5104146456854508e+00,4.4765611514145505e+00,3.6183292495435193e-01,9.8680324065148900e-03,-2.2045117580307588e-01,4.6374977111950533e-03
0.0000000000000000e+00,2,1.0000000000000000e+00,-2.1954347794100656e+01,-9.7344216998384780e+00,-7.3428980776246844e-01,7.9253609599249986e-02,-1.8430131884331941e-01,-2.0241620031617925e-02

8.7677459251030765e-01,0,1.0000000000000000e+00,1.3350444392307939e+01,5.6096646202159066e+00,3.8608803111347495e-01,-1.2399598617402281e-01,3.9710657839741398e-01,1.5478479380436847e-02
8.7677459251030765e-01,1,1.0000000000000000e+00,8.5338692447754276e+00,4.2861017703655486e+00,3.6593041053541464e-01,4.3495938908292384e-02,-2.1336776018750209e-01,4.7203018335281004e-03
8.7677459251030765e-01,2,1.0000000000000000e+00,-2.1884313637083366e+01,-9.8957663905814535e+00,-7.5201844164888976e-01,8.0500047265730401e-02,-1.8373881820991203e-01,-2.0198781213964942e-02

1.7693749747061185e+00,0,1.0000000000000000e+00,1.3224302180083319e+01,5.9592071190831177e+00,3.9982154359817096e-01,-1.5842710388923076e-01,3.8545400067658159e-01,1.5282079468324541e-02
1.7693749747061185e+00,1,1.0000000000000000e+00,8.5875917978782645e+00,4.1003061211021175e+00,3.7020648347570034e-01,7.6660981285973234e-02,-2.0229564608681178e-01,4.8720417079008618e-03
1.7693749747061185e+00,2,1.0000000000000000e+00,-2.1811893977961585e+01,-1.0059513240185236e+01,-7.7002802707387130e-01,8.1766122603257468e-02,-1.8315835458976978e-01,-2.0154121176225399e-02

3.1481306964823008e+00,0,1.0000000000000000e+00,1.2970857329434535e+01,6.4741939521538754e+00,4.2061051415971062e-01,-2.0848484813207671e-01,3.6014238487906214e-01,1.4848386629538194e-02
3.1481306964823008e+00,1,1.0000000000000000e+00,8.7269567644366681e+00,3.8372237166429026e+00,3.7715646336613412e-01,1.2477019091431316e-01,-1.7789526979852321e-01,5.2347548900433163e-03
3.1481306964823008e+00,2,1.0000000000000000e+00,-2.1697814093871202e+01,-1.0311417668796778e+01,-7.9776697752584469e-01,8.3714657217763611e-02,-1.8224711508053887e-01,-2.0083141519581509e-02

5.1165320528136924e+00,0,1.0000000000000000e+00,1.2497150007837362e+01,7.1363327474426601e+00,4.4902729954223020e-01,-2.7075831185930671e-01,3.1008744337419264e-01,1.3978531853586676e-02
5.1165320528136924e+00,1,1.0000000000000000e+00,9.0331569711358615e+00,3.5325168964110256e+00,3.8816847050803532e-01,1.8428114984660504e-01,-1.2917030379317440e-01,5.9993177701557331e-03
5.1165320528136924e+00,2,1.0000000000000000e+00,-2.1530306978973222e+01,-1.0668849643853687e+01,-8.3719577005026546e-01,8.6477162012701697e-02,-1.8091713958101835e-01,-1.9977849623742404e-02

7.9282038789291676e+00,0,1.0000000000000000e+00,1.1638531089290913e+01,7.8812562124552361e+00,4.8609906108771228e-01,-3.3445279786463267e-01,2.1612512762407940e-01,1.2322694446958677e-02
7.9282038789291676e+00,1,1.0000000000000000e+00,9.6431401395256540e+00,3.2935375049350197e+00,4.0704794793129739e-01,2.4408163573085917e-01,-3.7165174222939995e-02,7.4973226920359397e-03
7.9282038789291676e+00,2,1.0000000000000000e+00,-2.1281671228816570e+01,-1.1174793717390255e+01,-8.9314700901900990e-01,9.0371162133773553e-02,-1.7895995340113954e-01,-1.9820017138994617e-02

1.1544323858347623e+01,0,1.0000000000000000e+00,1.0358908905577611e+01,8.4096106098719456e+00,5.2613719790765912e-01,-3.6255114077176953e-01,7.4136142116056375e-02,9.7780486844715343e-03
1.1544323858347623e+01,1,1.0000000000000000e+00,1.0587074844029614e+01,3.4076194094917245e+00,4.3829666723120098e-01,2.6728266224957986e-01,1.0220075392662389e-01,9.8269701933120929e-03
1.1544323858347623e+01,2,1.0000000000000000e+00,-2.0945983749607230e+01,-1.1817230019363672e+01,-9.6443386513886020e-01,9.5268478522189698e-02,-1.7633689604268041e-01,-1.9605018877783618e-02

1.6434800366258553e+01,0,1.0000000000000000e+00,8.6955054759601254e+00,8.3102654421428852e+00,5.6549582883579097e-01,-2.9912376056878054e-01,-1.0798819023028489e-01,6.4192417969477986e-03
1.6434800366258553e+01,1,1.0000000000000000e+00,1.1768786777667394e+01,4.3602242976917660e+00,4.9406140507253504e-01,1.9743771889782880e-01,2.8055119729714195e-01,1.2872646253650942e-02
1.6434800366258553e+01,2,1.0000000000000000e+00,-2.0464292253627512e+01,-1.2670489739834650e+01,-1.0595572339083259e+00,1.0168604167095215e-01,-1.7256300706685690e-01,-1.9291888050598734e-02

2.1246408783122295e+01,0,1.0000000000000000e+00,7.5969515057000550e+00,7.4875986121593883e+00,5.9048622975942266e-01,-1.4638671258801300e-01,-2.1821951116049448e-01,4.2316902797294303e-03
2.1246408783122295e+01,1,1.0000000000000000e+00,1.2363259961275977e+01,6.0036731162685459e+00,5.6109670227857811e-01,3.8570267237187483e-02,3.8677343859623964e-01,1.4722652404621093e-02
2.1246408783122295e+01,2,1.0000000000000000e+00,-1.9960211466976020e+01,-1.3491271728427929e+01,-1.1515829320380002e+00,1.0781644535082595e-01,-1.6855392743574493e-01,-1.8954342684350516e-02

2.6106102182001390e+01,0,1.0000000000000000e+00,7.3452633121744846e+00,6.3758905253888205e+00,6.0941394783891667e-01,4.2825323238672899e-02,-2.1936797780418948e-01,3.9042218275472489e-03
2.6106102182001390e+01,1,1.0000000000000000e+00,1.2076207203568583e+01,7.9240658625653664e+00,6.3338580190582827e-01,-1.5670833302301512e-01,3.8358309830368920e-01,1.4676077305376031e-02
2.6106102182001390e+01,2,1.0000000000000000e+00,-1.9421470515743053e+01,-1.4299956387954181e+01,-1.2427997497447449e+00,1.1388300978434236e-01,-1.6421512049949946e-01,-1.8580299132923268e-02

3.0592985048521111e+01,0,1.0000000000000000e+00,7.8826248289551337e+00,5.5818749919311905e+00,6.2964387444759518e-01,1.8699187458834410e-01,-1.2039178918394303e-01,5.3684993731545096e-03
3.0592985048521111e+01,1,1.0000000000000000e+00,1.1015506831971891e+01,9.4455202632879658e+00,6.9569716830352624e-01,-3.0636150972893600e-01,2.8040193480779363e-01,1.2839741381157883e-02
3.0592985048521111e+01,2,1.0000000000000000e+00,-1.8898131660927010e+01,-1.5027395255219147e+01,-1.3253410427511210e+00,1.1936963514059196e-01,-1.6001014562385041e-01,-1.8208240754312384e-02

3.5050710704896019e+01,0,1.0000000000000000e+00,8.8971514833791581e+00,5.3903806370819005e+00,6.5913834828825468e-01,2.5257224885750390e-01,4.0936354977438888e-02,7.9914677441207949e-03
3.5050710704896019e+01,1,1.0000000000000000e+00,9.4570140138356322e+00,1.0340729863926830e+01,7.4651033177104953e-01,-3.7722411956898066e-01,1.1476169471045114e-01,9.8284746806228361e-03
3.5050710704896019e+01,2,1.0000000000000000e+00,-1.8354165497214776e+01,-1.5731110501008725e+01,-1.4056486800593038e+00,1.2465187071147682e-01,-1.5569804968788972e-01,-1.7819942424743627e-02

4.1092923347046181e+01,0,1.0000000000000000e+00,1.0309175522847024e+01,6.3429048185853674e+00,7.1929190628409190e-01,1.8554772355508173e-01,2.6598974894509808e-01,1.1799686731205482e-02
4.1092923347046181e+01,1,1.0000000000000000e+00,7.2710676104035645e+00,1.0310804222441506e+01,7.9238195401823652e-01,-3.1699375627661297e-01,-1.1635041312217792e-01,5.4705681224785450e-03
4.1092923347046181e+01,2,1.0000000000000000e+00,-1.7580243133250580e+01,-1.6653709041026868e+01,-1.5116738603023276e+00,1.3144603272153130e-01,-1.4963933582291994e-01,-1.7270254853684015e-02

4.5827615877008228e+01,0,1.0000000000000000e+00,1.0847186587583291e+01,7.8890495036808730e+00,7.8012363508117111e-01,3.0971225760389631e-02,3.7187747336057148e-01,1.3637509256217175e-02
4.5827615877008228e+01,1,1.0000000000000000e+00,6.0986958433616270e+00,9.4614602108868979e+00,8.1225456147138408e-01,-1.6744993871318359e-01,-2.2721729449919209e-01,3.1787661532043082e-03
4.5827615877008228e+01,2,1.0000000000000000e+00,-1.6945882430944906e+01,-1.7350509714567760e+01,-1.5923781965525545e+00,1.3647871295279412e-01,-1.4466017886137922e-01,-1.6816275409421474e-02

5.0464314428605000e+01,0,1.0000000000000000e+00,1.0563088549993008e+01,9.6612626696103945e+00,8.4419787918560574e-01,-1.5398817937349657e-01,3.7461899386040914e-01,1.3682738582075485e-02
5.0464314428605000e+01,1,1.0000000000000000e+00,5.7389389803406887e+00,8.3482424804919244e+00,8.2507112850635778e-01,1.2772909514742858e-02,-2.3506394771902400e-01,2.6625561200599706e-03
5.0464314428605000e+01,2,1.0000000000000000e+00,-1.6302027530333685e+01,-1.8009505150102306e+01,-1.6692690076919625e+00,1.4121526985875396e-01,-1.3955504614138506e-01,-1.6345294702135450e-02

5.5181797415325036e+01,0,1.0000000000000000e+00,9.4374357783346277e+00,1.1225634285408891e+01,9.0508642330948141e-01,-3.1326429518044485e-01,2.7284140652734817e-01,1.1839884888755581e-02
5.5181797415325036e+01,1,1.0000000000000000e+00,6.1873577207998736e+00,7.4295690272067052e+00,8.4010747078699000e-01,1.6739006675178730e-01,-1.3867634665259981e-01,3.9995845134447455e-03
5.5181797415325036e+01,2,1.0000000000000000e+00,-1.5624793499134487e+01,-1.8655203312615591e+01,-1.7451938940964702e+00,1.4587422842865747e-01,-1.3416505987474819e-01,-1.5839469402200320e-02

5.9868873831913760e+01,0,1.0000000000000000e+00,7.7519251972580037e+00,1.2119031949990205e+01,9.5347274474737753e-01,-3.8906727737150848e-01,1.0103266648321241e-01,8.6559617767704121e-03
5.9868873831913760e+01,1,1.0000000000000000e+00,7.1786495865393336e+00,7.1522149614848534e+00,8.6474628387197638e-01,2.3875098028540576e-01,2.7657045568226568e-02,6.6626061002265655e-03
5.9868873831913760e+01,2,1.0000000000000000e+00,-1.4930574783797322e+01,-1.9271246911475053e+01,-1.8182190286193531e+00,1.5031629708610272e-01,-1.2868971205143842e-01,-1.5318567876996966e-02

6.4470097725074567e+01,0,1.0000000000000000e+00,5.9906039699477418e+00,1.2160285560634293e+01,9.8523093518358773e-01,-3.5913546843116234e-01,-8.0013916720335976e-02,5.1810149116400528e-03
6.4470097725074567e+01,1,1.0000000000000000e+00,8.2387560747950150e+00,7.6905852929624157e+00,9.0227683853277463e-01,2.0470163536935443e-01,2.0325558856863357e-01,9.6166965614071925e-03
6.4470097725074567e+01,2,1.0000000000000000e+00,-1.4229360044742739e+01,-1.9850870853596696e+01,-1.8875077737163612e+00,1.5443383306180808e-01,-1.2324167184829699e-01,-1.4797711473047238e-02

6.9266678539256475e+01,0,1.0000000000000000e+00,4.5452572767925012e+00,1.1412335265860577e+01,1.0027027254502350e+00,-2.2972062040296942e-01,-2.1862962533922103e-01,2.3202663632755065e-03
6.9266678539256475e+01,1,1.0000000000000000e+00,8.9336406323332334e+00,9.0158661990816142e+00,9.5446292716546477e-01,7.1289085958555931e-02,3.3609219632418252e-01,1.1924645574203646e-02
6.9266678539256475e+01,2,1.0000000000000000e+00,-1.3478897909125717e+01,-2.0428201464942177e+01,-1.9571656526156984e+00,1.5843153444441344e-01,-1.1746257098496071e-01,-1.4244911937479151e-02

7.3906781388204195e+01,0,1.0000000000000000e+00,3.8827643645522656e+00,1.0262706751646242e+01,1.0100144699228353e+00,-5.1997391305935947e-02,-2.5930320390836264e-01,1.1374241704060796e-03
